City,YEAR,MONTH,Air Pollutant #1
PLYMOUTH,2025,11,12.0
PLYMOUTH,2025,12,16.0
PORTSMOUTH,2024,1,10.0
PORTSMOUTH,2024,2,11.0
PORTSMOUTH,2024,3,13.0
PORTSMOUTH,2024,4,13.0
PORTSMOUTH,2024,5,15.0
PORTSMOUTH,2024,6,11.0
PORTSMOUTH,2024,10,9.0
PORTSMOUTH,2024,11,13.0
PORTSMOUTH,2024,12,10.0
PORTSMOUTH,2025,1,12.0
PORTSMOUTH,2025,2,17.0
PORTSMOUTH,2025,3,13.0
PORTSMOUTH,2025,4,17.0
PORTSMOUTH,2025,5,9.0
PORTSMOUTH,2025,6,8.0
READING,2024,1,11.0
READING,2024,2,12.0
READING,2024,3,14.0
READING,2024,4,12.0
READING,2024,5,16.0
READING,2024,6,11.0
READING,2024,7,12.0
READING,2024,8,9.0
READING,2024,10,9.0
READING,2024,11,13.0
READING,2024,12,9.0
READING,2025,1,12.0
READING,2025,2,12.0
Rochester Stoke,2024,1,12.0
Rochester Stoke,2024,2,12.0
Rochester Stoke,2024,3,17.0
Rochester Stoke,2024,4,17.0
Rochester Stoke,2024,5,20.0
Rochester Stoke,2024,6,13.0
Rochester Stoke,2024,7,16.0
Rochester Stoke,2024,8,16.0
SALFORD,2024,1,12.0
SALFORD,2024,2,16.0
SALFORD,2024,3,16.0
SALFORD,2024,4,14.0
SALFORD,2024,5,19.0
SALFORD,2024,6,18.0
SALFORD,2024,7,19.0
SHEFFIELD,2024,1,14.0
SHEFFIELD,2024,2,15.0
SHEFFIELD,2024,3,18.0
SHEFFIELD,2024,4,15.0
SHEFFIELD,2024,5,18.0
SHEFFIELD,2024,6,15.0
SHEFFIELD,2024,7,14.0
SHEFFIELD,2024,8,8.0
SHEFFIELD,2024,9,9.0
SHEFFIELD,2024,10,10.0
SHEFFIELD,2024,11,16.0
SHEFFIELD,2024,12,11.0
SHEFFIELD,2025,1,11.0
SHEFFIELD,2025,2,21.0
SHEFFIELD,2025,3,12.0
SHEFFIELD,2025,4,22.0
SHEFFIELD,2025,5,12.0
SOUTHAMPTON,2024,1,14.0
SOUTHAMPTON,2024,2,15.5
SOUTHAMPTON,2024,3,17.0
SOUTHAMPTON,2024,4,16.5
SOUTHAMPTON,2024,5,19.5
SOUTHAMPTON,2024,6,15.5
SOUTHAMPTON,2024,7,18.0
SOUTHAMPTON,2024,8,11.0
SOUTHAMPTON,2024,9,12.5
SOUTHAMPTON,2024,10,13.0
SOUTHAMPTON,2024,11,17.5
